# q  S_avg  S_stderr  n_modes
5.000000000000000104e-03 6.075000000000000000e+03 0.000000000000000000e+00 1.000000000000000000e+00
2.500000000000000139e-02 1.074113000000000151e-01 3.947223396766390280e-02 5.000000000000000000e+00
3.500000000000000333e-02 2.492999999999999938e-01 0.000000000000000000e+00 1.000000000000000000e+00
4.499999999999999833e-02 7.900273444444443349e-01 2.774490528892712415e-01 9.000000000000000000e+00
5.500000000000000028e-02 1.628719333333333408e+00 4.693155238249044903e-01 6.000000000000000000e+00
6.500000000000000222e-02 3.718217066666666959e+00 1.011252343214305460e+00 1.500000000000000000e+01
7.500000000000001110e-02 4.296266615384615406e+00 9.700387162605773606e-01 1.300000000000000000e+01
8.499999999999999223e-02 5.793981222222221561e+00 1.311612703669299718e+00 1.800000000000000000e+01
9.500000000000000111e-02 7.808331777777778981e+00 2.409152399211127005e+00 1.800000000000000000e+01
1.050000000000000100e-01 6.244264000000001147e+00 9.724261495015305012e-01 2.800000000000000000e+01
1.149999999999999911e-01 4.379479095238095532e+00 8.226016400042290844e-01 2.100000000000000000e+01
1.250000000000000000e-01 3.679572190476190663e+00 4.810012142190700501e-01 4.200000000000000000e+01
1.350000000000000089e-01 3.469476090909091148e+00 4.212574033182024391e-01 3.300000000000000000e+01
1.450000000000000178e-01 2.602919428571428551e+00 3.164012201400323021e-01 4.900000000000000000e+01
1.549999999999999989e-01 1.951461645833333369e+00 2.311056095515370556e-01 4.800000000000000000e+01
1.650000000000000078e-01 1.925800666666666494e+00 2.186482209203987059e-01 5.400000000000000000e+01
1.749999999999999889e-01 1.467908894736841940e+00 1.023841783299483804e-01 5.700000000000000000e+01
1.849999999999999978e-01 1.470862394736841994e+00 1.202593327364761405e-01 7.600000000000000000e+01
1.950000000000000067e-01 1.233638266666666539e+00 8.963227089570502404e-02 9.000000000000000000e+01
2.050000000000000155e-01 1.020546396825396940e+00 6.552462435668564289e-02 6.300000000000000000e+01
2.149999999999999967e-01 1.014223174311926545e+00 5.557473167340215570e-02 1.090000000000000000e+02
2.250000000000000056e-01 8.601794615384613651e-01 4.928866313059251242e-02 7.800000000000000000e+01
2.349999999999999867e-01 8.204687539682540276e-01 3.965831808930944669e-02 1.260000000000000000e+02
2.449999999999999956e-01 7.810202254901962293e-01 3.923792048449763897e-02 1.020000000000000000e+02
2.550000000000000044e-01 7.313559310344828202e-01 3.017125633989808584e-02 1.450000000000000000e+02
2.650000000000000133e-01 7.115534920634921656e-01 3.122523435558143684e-02 1.260000000000000000e+02
2.750000000000000222e-01 6.425647364341084966e-01 2.434683652880211685e-02 1.290000000000000000e+02
2.850000000000000311e-01 6.059908235294118040e-01 2.059033855430464008e-02 1.530000000000000000e+02
2.949999999999999845e-01 5.968694887640448865e-01 1.800853194186971540e-02 1.780000000000000000e+02
3.049999999999999933e-01 5.635292701149425820e-01 1.723123443757637943e-02 1.740000000000000000e+02
3.150000000000000022e-01 5.715930687830688139e-01 1.607783983152085566e-02 1.890000000000000000e+02
3.250000000000000111e-01 5.784896217616579683e-01 1.334034818369132791e-02 1.930000000000000000e+02
3.350000000000000200e-01 6.122044901960783658e-01 1.551348136640172230e-02 2.040000000000000000e+02
3.450000000000000289e-01 5.962919523809524502e-01 1.544081795348244135e-02 2.310000000000000000e+02
3.549999999999999822e-01 5.585680213675213723e-01 1.074887363647796835e-02 2.340000000000000000e+02
3.649999999999999911e-01 5.821713697478990701e-01 1.260435250644321124e-02 2.380000000000000000e+02
3.750000000000000000e-01 5.838328571428571534e-01 9.485865183560015720e-03 2.940000000000000000e+02
3.850000000000000089e-01 5.674231162790697169e-01 1.104569652935778745e-02 2.580000000000000000e+02
3.950000000000000178e-01 5.956203015267176326e-01 1.129992418951021073e-02 2.620000000000000000e+02
4.050000000000000266e-01 5.720434506172840106e-01 8.315351422266664683e-03 3.240000000000000000e+02
4.150000000000000355e-01 5.923172037037036652e-01 8.690614279540426548e-03 3.240000000000000000e+02
4.249999999999999889e-01 5.800709567901234376e-01 7.700068198886903491e-03 3.240000000000000000e+02
4.349999999999999978e-01 5.823068011363635721e-01 8.191511179365970272e-03 3.520000000000000000e+02
4.450000000000000067e-01 5.645283229974160655e-01 6.999016008112945476e-03 3.870000000000000000e+02
4.550000000000000155e-01 5.861447935103244467e-01 7.375832791954524230e-03 3.390000000000000000e+02
4.650000000000000244e-01 6.076293358585859172e-01 6.512691527788093751e-03 3.960000000000000000e+02
4.749999999999999778e-01 5.910737844036697552e-01 6.134692457902097065e-03 4.360000000000000000e+02
4.849999999999999867e-01 6.015478028169014557e-01 6.349609231517416331e-03 4.260000000000000000e+02
4.949999999999999956e-01 6.288603605442176780e-01 6.985920907484725016e-03 4.410000000000000000e+02
5.050000000000000044e-01 6.374806235565819712e-01 7.110275659659243998e-03 4.330000000000000000e+02
5.150000000000000133e-01 6.515751876247505292e-01 6.336310173301247864e-03 5.010000000000000000e+02
5.250000000000000222e-01 6.697870576131688125e-01 6.293795734193680276e-03 4.860000000000000000e+02
5.350000000000000311e-01 6.965045085714285378e-01 6.413959661274508568e-03 5.250000000000000000e+02
5.450000000000000400e-01 7.202021387900355842e-01 6.300275744201676124e-03 5.620000000000000000e+02
5.550000000000000488e-01 7.415160288288287216e-01 6.279197551122009391e-03 5.550000000000000000e+02
5.650000000000000577e-01 7.722844543859649358e-01 6.627880867052726548e-03 5.700000000000000000e+02
5.749999999999999556e-01 8.183090541455161349e-01 6.822187473792379851e-03 5.910000000000000000e+02
5.849999999999999645e-01 8.311614914675768961e-01 6.431590222110064765e-03 5.860000000000000000e+02
